GESTAO FINANCEIRA — RE9 IMOB,,,,,,
"Atualizado automaticamente com base nas abas Entradas, Saidas e Custos Fixos",,,,,,
,,,,,,
RESUMO ACUMULADO — 2026,,,,,,
,Total Entradas,Total Saidas,Custos Fixos Acum.,Lucro Liquido,Margem Liquida,
,"R$ 233.509,26","R$ 185.491,24","R$ 0,00","R$ 48.018,02","20,6%",
,,,,,,
RESULTADO POR MES,,,,,,
,Mes,Entradas (R$),Saidas (R$),Custos Fixos (R$),Resultado (R$),Margem (%)
,Abril/26,"R$ 15.546,57","R$ 4.722,73",,"R$ 10.823,84","69,6%"
,Maio/26,"R$ 67.162,93","R$ 46.570,00",,"R$ 20.592,93","30,7%"
,Junho/26,"R$ 55.790,80","R$ 56.761,47",,"-R$ 970,67","-1,7%"
,Julho/26,"R$ 95.008,96","R$ 77.437,04",,"R$ 17.571,92","18,5%"
,Agosto/26,"R$ 0,00","R$ 0,00",,r$ -,"0,0%"
,Setembro/26,"R$ 0,00","R$ 0,00",,r$ -,"0,0%"
,Outubro/26,"R$ 0,00","R$ 0,00",,r$ -,"0,0%"
,Novembro/26,"R$ 0,00","R$ 0,00",,r$ -,"0,0%"
,Dezembro/26,"R$ 0,00","R$ 0,00",,r$ -,"0,0%"
,TOTAL,"R$ 233.509,26","R$ 185.491,24","R$ 0,00","R$ 48.018,02","R$ 1,17"
,,,,,,
"Dica: preencha as abas Entradas, Saidas e Custos Fixos. Este painel atualiza sozinho.",,,,,,
,,,,,,
POSICAO DE CAIXA PREVISTA,,,,,,
,A Receber (pendente),A Pagar (pendente),Saldo Previsto,,,
,"R$ 45.653,12","R$ 35.667,53","R$ 9.985,59",,,
,,,,,,
Saldo Previsto = valores que ainda vao entrar menos valores que ainda precisa pagar.,,,,,,
